mirror_config,target_name,model_name,accuracy,roc_auc,f1_score
oversampling_random,Home Clean Sheet,Logistic Regression (Elastic Net),0.5808510638297872,0.6062772078270473,0.4328795550761685
oversampling_random,Home Clean Sheet,Random Forest,0.6663120567375886,0.5979587293238503,0.3353289286893673
oversampling_random,Home Clean Sheet,HistGradientBoosting (Early Stopping),0.6106382978723405,0.6041449255717908,0.4158531015487861
oversampling_random,Home Clean Sheet,XGBoost (L1/L2 Regularized),0.6336879432624114,0.5958895088234222,0.3790025034314351
oversampling_random,Home Clean Sheet,Neural Network (Dropout),0.5946808510638298,0.5749183690848017,0.3871019754478613
oversampling_smote,1X2 (Match Winner),Logistic Regression (Elastic Net),0.4882978723404256,0.0,0.4896988472687645
oversampling_smote,1X2 (Match Winner),Random Forest,0.4826241134751773,0.0,0.4771568888556325
oversampling_smote,1X2 (Match Winner),HistGradientBoosting (Early Stopping),0.4730496453900709,0.0,0.4748428216242645
oversampling_smote,1X2 (Match Winner),XGBoost (L1/L2 Regularized),0.4730496453900709,0.0,0.4698258540466066
oversampling_smote,1X2 (Match Winner),Neural Network (Dropout),0.4539007092198582,0.0,0.4409528643847649
oversampling_smote,Double Chance 1X (Home or Draw),Logistic Regression (Elastic Net),0.6627659574468086,0.7129587941486979,0.7335572937036445
oversampling_smote,Double Chance 1X (Home or Draw),Random Forest,0.6783687943262412,0.6962000111190492,0.7647415168236444
oversampling_smote,Double Chance 1X (Home or Draw),HistGradientBoosting (Early Stopping),0.6687943262411348,0.6785875941044388,0.7558315032525216
oversampling_smote,Double Chance 1X (Home or Draw),XGBoost (L1/L2 Regularized),0.6780141843971632,0.6883576496577228,0.7642606959109138
oversampling_smote,Double Chance 1X (Home or Draw),Neural Network (Dropout),0.6517730496453901,0.6507866393757415,0.7455560253210287
oversampling_smote,Double Chance X2 (Away or Draw),Logistic Regression (Elastic Net),0.6379432624113475,0.7092961022623117,0.6572823416157123
oversampling_smote,Double Chance X2 (Away or Draw),Random Forest,0.6340425531914894,0.6947618330284396,0.6631662050336977
oversampling_smote,Double Chance X2 (Away or Draw),HistGradientBoosting (Early Stopping),0.6290780141843972,0.6816188664327596,0.6547300489703693
oversampling_smote,Double Chance X2 (Away or Draw),XGBoost (L1/L2 Regularized),0.6219858156028368,0.678640548226124,0.6456431828783012
oversampling_smote,Double Chance X2 (Away or Draw),Neural Network (Dropout),0.6095744680851063,0.6570913702200777,0.6542862366075307
oversampling_smote,Over 2.5 Goals,Logistic Regression (Elastic Net),0.5436170212765956,0.5578122896876436,0.588063794156106
oversampling_smote,Over 2.5 Goals,Random Forest,0.5397163120567375,0.5461830772683471,0.5893969017494403
oversampling_smote,Over 2.5 Goals,HistGradientBoosting (Early Stopping),0.5439716312056737,0.5420893761580785,0.6031336577011209
oversampling_smote,Over 2.5 Goals,XGBoost (L1/L2 Regularized),0.5336879432624113,0.5381407569423907,0.5832744345142187
oversampling_smote,Over 2.5 Goals,Neural Network (Dropout),0.5067375886524823,0.5150997785761489,0.5303412493542254
oversampling_smote,Under 2.5 Goals,Logistic Regression (Elastic Net),0.5436170212765956,0.5578122896876436,0.4840504301298133
oversampling_smote,Under 2.5 Goals,Random Forest,0.5443262411347518,0.5480189758545322,0.463656089612838
oversampling_smote,Under 2.5 Goals,HistGradientBoosting (Early Stopping),0.5464539007092198,0.548908575242726,0.4550792957632876
oversampling_smote,Under 2.5 Goals,XGBoost (L1/L2 Regularized),0.5336879432624113,0.5381407569423907,0.4654592947756276
oversampling_smote,Under 2.5 Goals,Neural Network (Dropout),0.5134751773049645,0.5260658565983605,0.5074402928442855
oversampling_smote,BTTS (Both Teams To Score),Logistic Regression (Elastic Net),0.5124113475177305,0.5089620897927306,0.5520479222575885
oversampling_smote,BTTS (Both Teams To Score),Random Forest,0.500709219858156,0.4997332589101542,0.5545619116556372
oversampling_smote,BTTS (Both Teams To Score),HistGradientBoosting (Early Stopping),0.5205673758865249,0.5150262786783646,0.5846645288447617
oversampling_smote,BTTS (Both Teams To Score),XGBoost (L1/L2 Regularized),0.5109929078014185,0.513651774556052,0.5572947559311168
oversampling_smote,BTTS (Both Teams To Score),Neural Network (Dropout),0.4911347517730496,0.5096352239665817,0.4440226324818908
oversampling_smote,BTTS - No,Logistic Regression (Elastic Net),0.5124113475177305,0.5089620897927306,0.4498437571921374
oversampling_smote,BTTS - No,Random Forest,0.5099290780141844,0.4981452223369317,0.4083086069675302
oversampling_smote,BTTS - No,HistGradientBoosting (Early Stopping),0.5336879432624113,0.5201677516621983,0.4133739557443215
oversampling_smote,BTTS - No,XGBoost (L1/L2 Regularized),0.5109929078014185,0.513651774556052,0.4484710984925963
oversampling_smote,BTTS - No,Neural Network (Dropout),0.5152482269503545,0.5164115598665371,0.4668976385114206
