Estrategia,Filtro Cuotas,Filtro Probabilidad,Filtro Kelly,Banca Final,ROI,Apuestas,Win Rate,Max Drawdown
QUARTER,Sin Filtro,Prob >= 20%,Kelly >= 0.2%,65.00570792065635,-1.8372114885686706,2302,31.364031277150307,98.74084787589584
QUARTER,Sin Filtro,Prob >= 20%,Kelly >= 0.4%,65.00570792065635,-1.8372114885686706,2302,31.364031277150307,98.74084787589584
QUARTER,Sin Filtro,Prob >= 30%,Sin Filtro,247.09420844529464,-0.8059500884576261,2234,36.61593554162936,93.92557545091613
QUARTER,Sin Filtro,Prob >= 30%,Kelly >= 0.2%,247.09420844529464,-0.8059500884576261,2234,36.61593554162936,93.92557545091613
QUARTER,Sin Filtro,Prob >= 30%,Kelly >= 0.4%,247.09420844529464,-0.8059500884576261,2234,36.61593554162936,93.92557545091613
QUARTER,Sin Filtro,Prob >= 40%,Sin Filtro,222.923727439638,-1.4157899482106737,2142,44.58450046685341,91.51717842817685
QUARTER,Sin Filtro,Prob >= 40%,Kelly >= 0.2%,222.923727439638,-1.4157899482106737,2142,44.58450046685341,91.51717842817685
QUARTER,Sin Filtro,Prob >= 40%,Kelly >= 0.4%,222.923727439638,-1.4157899482106737,2142,44.58450046685341,91.51717842817685
QUARTER,Moderado (1.4-5.0),Sin Filtro,Sin Filtro,101.77295132514124,-1.3898774185938676,2238,37.0420017873101,96.74950908477827
QUARTER,Moderado (1.4-5.0),Sin Filtro,Kelly >= 0.2%,101.77295132514124,-1.3898774185938676,2238,37.0420017873101,96.74950908477827
QUARTER,Moderado (1.4-5.0),Sin Filtro,Kelly >= 0.4%,101.77295132514124,-1.3898774185938676,2238,37.0420017873101,96.74950908477827
QUARTER,Moderado (1.4-5.0),Prob >= 20%,Sin Filtro,101.77295132514124,-1.3898774185938676,2238,37.0420017873101,96.74950908477827
QUARTER,Moderado (1.4-5.0),Prob >= 20%,Kelly >= 0.2%,101.77295132514124,-1.3898774185938676,2238,37.0420017873101,96.74950908477827
QUARTER,Moderado (1.4-5.0),Prob >= 20%,Kelly >= 0.4%,101.77295132514124,-1.3898774185938676,2238,37.0420017873101,96.74950908477827
QUARTER,Moderado (1.4-5.0),Prob >= 30%,Sin Filtro,105.55728078433295,-1.505051840942051,2205,38.59410430839002,96.36874335101882
QUARTER,Moderado (1.4-5.0),Prob >= 30%,Kelly >= 0.2%,105.55728078433295,-1.505051840942051,2205,38.59410430839002,96.36874335101882
QUARTER,Moderado (1.4-5.0),Prob >= 30%,Kelly >= 0.4%,105.55728078433295,-1.505051840942051,2205,38.59410430839002,96.36874335101882
QUARTER,Moderado (1.4-5.0),Prob >= 40%,Sin Filtro,195.76343435518035,-1.5842460615171934,2128,44.266917293233085,91.77246095063786
QUARTER,Moderado (1.4-5.0),Prob >= 40%,Kelly >= 0.2%,195.76343435518035,-1.5842460615171934,2128,44.266917293233085,91.77246095063786
QUARTER,Moderado (1.4-5.0),Prob >= 40%,Kelly >= 0.4%,195.76343435518035,-1.5842460615171934,2128,44.266917293233085,91.77246095063786
QUARTER,Conservador (1.6-4.0),Sin Filtro,Sin Filtro,108.78559959078414,-1.9575280577346361,2184,40.61355311355312,95.3593593511261
QUARTER,Conservador (1.6-4.0),Sin Filtro,Kelly >= 0.2%,108.78559959078414,-1.9575280577346361,2184,40.61355311355312,95.3593593511261
QUARTER,Conservador (1.6-4.0),Sin Filtro,Kelly >= 0.4%,108.78559959078414,-1.9575280577346361,2184,40.61355311355312,95.3593593511261
QUARTER,Conservador (1.6-4.0),Prob >= 20%,Sin Filtro,108.78559959078414,-1.9575280577346361,2184,40.61355311355312,95.3593593511261
QUARTER,Conservador (1.6-4.0),Prob >= 20%,Kelly >= 0.2%,108.78559959078414,-1.9575280577346361,2184,40.61355311355312,95.3593593511261
QUARTER,Conservador (1.6-4.0),Prob >= 20%,Kelly >= 0.4%,108.78559959078414,-1.9575280577346361,2184,40.61355311355312,95.3593593511261
QUARTER,Conservador (1.6-4.0),Prob >= 30%,Sin Filtro,108.31229856263668,-1.9205912340380407,2180,40.73394495412844,95.36853699591951
QUARTER,Conservador (1.6-4.0),Prob >= 30%,Kelly >= 0.2%,108.31229856263668,-1.9205912340380407,2180,40.73394495412844,95.36853699591951
