conf,stake,strategy,kelly_frac,vig,min_odds,total_bets,wins,win_rate,net_profit,final_bankroll,roi,sharpe
0.55,20,kelly,0.05,0.98,1.5,431,269,62.41,15.59,1015.59,0.18,0.9316
0.55,20,kelly,0.05,0.98,1.6,343,205,59.77,3.93,1003.93,0.06,0.2553
0.55,20,kelly,0.05,1.0,1.1,509,322,63.26,23.92,1023.92,0.23,1.3205
0.55,20,kelly,0.05,1.0,1.2,509,322,63.26,23.92,1023.92,0.23,1.3205
0.55,20,kelly,0.05,1.0,1.3,508,321,63.19,23.64,1023.64,0.23,1.3048
0.55,20,kelly,0.05,1.0,1.4,502,318,63.35,25.63,1025.63,0.26,1.4229
0.55,20,kelly,0.05,1.0,1.5,448,280,62.5,24.39,1024.39,0.27,1.4066
0.55,20,kelly,0.05,1.0,1.6,378,232,61.38,19.67,1019.67,0.26,1.2102
0.55,20,kelly,0.07,0.85,1.1,508,321,63.19,-56.11,943.89,-0.55,-3.6441
0.55,20,kelly,0.07,0.85,1.2,495,314,63.43,-51.28,948.72,-0.52,-3.3682
0.55,20,kelly,0.07,0.85,1.3,431,269,62.41,-43.65,956.35,-0.51,-3.0068
0.55,20,kelly,0.07,0.85,1.4,322,193,59.94,-37.81,962.19,-0.59,-2.9172
0.55,20,kelly,0.07,0.85,1.5,102,54,52.94,-19.82,980.18,-0.97,-2.5836
0.55,20,kelly,0.07,0.85,1.6,0,0,0.0,0.0,1000.0,0.0,0.0
0.55,20,kelly,0.07,0.9,1.1,509,322,63.26,-29.37,970.63,-0.29,-1.8013
0.55,20,kelly,0.07,0.9,1.2,505,319,63.17,-28.88,971.12,-0.29,-1.775
0.55,20,kelly,0.07,0.9,1.3,485,305,62.89,-26.73,973.27,-0.28,-1.6646
0.55,20,kelly,0.07,0.9,1.4,416,261,62.74,-16.96,983.04,-0.2,-1.1221
0.55,20,kelly,0.07,0.9,1.5,293,171,58.36,-24.94,975.06,-0.43,-1.8845
