league,season,game,team,minute,score,player1,player2,event_type
ENG-Premier League,2122,2021-12-04 Southampton-Brighton,Brighton & Hove Albion,78’,1:0,Jakub Moder,Joël Veltman,substitute_in
ENG-Premier League,2122,2021-12-04 Southampton-Brighton,Southampton,80’,1:0,Mohammed Salisu,,yellow_card
ENG-Premier League,2122,2021-12-04 Southampton-Brighton,Southampton,81’,1:0,Adam Armstrong,Armando Broja,substitute_in
ENG-Premier League,2122,2021-12-04 Southampton-Brighton,Southampton,84’,1:0,Mohamed Elyounoussi,Nathan Tella,substitute_in
ENG-Premier League,2122,2021-12-04 Southampton-Brighton,Southampton,90+4’,1:0,Mohamed Elyounoussi,,yellow_card
ENG-Premier League,2122,2021-12-04 Southampton-Brighton,Southampton,90+7’,1:0,Oriol Romeu,,yellow_card
ENG-Premier League,2122,2021-12-04 Southampton-Brighton,Brighton & Hove Albion,90+8’,1:1,Neal Maupay,Jakub Moder,goal
ENG-Premier League,2122,2021-11-28 Brentford-Everton,Brentford,24’,1:0,Ivan Toney,,penalty_goal
ENG-Premier League,2122,2021-11-28 Brentford-Everton,Everton,38’,1:0,Andros Townsend,,yellow_card
ENG-Premier League,2122,2021-11-28 Brentford-Everton,Brentford,43’,1:0,Frank Onyeka,,yellow_card
ENG-Premier League,2122,2021-11-28 Brentford-Everton,Brentford,51’,1:0,Sergi Canós,,yellow_card
ENG-Premier League,2122,2021-11-28 Brentford-Everton,Brentford,66’,1:0,Pontus Jansson,,yellow_card
ENG-Premier League,2122,2021-11-28 Brentford-Everton,Everton,66’,1:0,Salomón Rondón,,yellow_card
ENG-Premier League,2122,2021-11-28 Brentford-Everton,Brentford,70’,1:0,Shandon Baptiste,Christian Nørgaard,substitute_in
ENG-Premier League,2122,2021-11-28 Brentford-Everton,Everton,70’,1:0,Demarai Gray,Andros Townsend,substitute_in
ENG-Premier League,2122,2021-11-28 Brentford-Everton,Brentford,77’,1:0,Mads Roerslev,Rico Henry,substitute_in
ENG-Premier League,2122,2021-11-28 Brentford-Everton,Everton,80’,1:0,Ben Godfrey,,yellow_card
ENG-Premier League,2122,2021-11-28 Brentford-Everton,Brentford,87’,1:0,Yoane Wissa,Sergi Canós,substitute_in
ENG-Premier League,2122,2021-11-28 Brentford-Everton,Brentford,90+2’,1:0,Bryan Mbeumo,,yellow_card
ENG-Premier League,2122,2022-02-19 Aston Villa-Watford,Aston Villa,57’,0:0,Matty Cash,,yellow_card
ENG-Premier League,2122,2022-02-19 Aston Villa-Watford,Aston Villa,58’,0:0,Ollie Watkins,Douglas Luiz,substitute_in
ENG-Premier League,2122,2022-02-19 Aston Villa-Watford,Aston Villa,65’,0:0,Ashley Young,Matty Cash,substitute_in
ENG-Premier League,2122,2022-02-19 Aston Villa-Watford,Watford,66’,0:0,Ismaila Sarr,,yellow_card
ENG-Premier League,2122,2022-02-19 Aston Villa-Watford,Aston Villa,71’,0:0,Leon Bailey,Emi Buendía,substitute_in
ENG-Premier League,2122,2022-02-19 Aston Villa-Watford,Watford,78’,0:1,Emmanuel Dennis,Ismaila Sarr,goal
ENG-Premier League,2122,2022-02-19 Aston Villa-Watford,Watford,82’,0:1,Hassane Kamara,,yellow_card
ENG-Premier League,2122,2022-02-19 Aston Villa-Watford,Watford,86’,0:1,Ken Sema,Emmanuel Dennis,substitute_in
ENG-Premier League,2122,2022-02-19 Aston Villa-Watford,Watford,90+3’,0:1,Cucho,Ismaila Sarr,substitute_in
ENG-Premier League,2122,2022-02-19 Aston Villa-Watford,Watford,90+3’,0:1,Christian Kabasele,Samir Santos,substitute_in
ENG-Premier League,2122,2022-01-23 Chelsea-Tottenham Hotspur,Chelsea,24’,0:0,Thiago Silva,,yellow_card
ENG-Premier League,2122,2022-01-23 Chelsea-Tottenham Hotspur,Tottenham Hotspur,37’,0:0,Japhet Tanganga,,yellow_card
ENG-Premier League,2122,2022-01-23 Chelsea-Tottenham Hotspur,Chelsea,42’,0:0,Jorginho,,yellow_card
ENG-Premier League,2122,2022-01-23 Chelsea-Tottenham Hotspur,Chelsea,47’,1:0,Hakim Ziyech,Callum Hudson-Odoi,goal
ENG-Premier League,2122,2022-01-23 Chelsea-Tottenham Hotspur,Chelsea,55’,2:0,Thiago Silva,Mason Mount,goal
ENG-Premier League,2122,2022-01-23 Chelsea-Tottenham Hotspur,Tottenham Hotspur,56’,2:0,Oliver Skipp,Japhet Tanganga,substitute_in
ENG-Premier League,2122,2022-01-23 Chelsea-Tottenham Hotspur,Tottenham Hotspur,56’,2:0,Lucas Moura,Ryan Sessegnon,substitute_in
ENG-Premier League,2122,2022-01-23 Chelsea-Tottenham Hotspur,Chelsea,73’,2:0,N'Golo Kanté,Jorginho,substitute_in
ENG-Premier League,2122,2022-01-23 Chelsea-Tottenham Hotspur,Chelsea,87’,2:0,Marcos Alonso,Callum Hudson-Odoi,substitute_in
ENG-Premier League,2122,2022-01-23 Chelsea-Tottenham Hotspur,Tottenham Hotspur,89’,2:0,Bryan Gil,Harry Winks,substitute_in
ENG-Premier League,2122,2022-01-23 Chelsea-Tottenham Hotspur,Chelsea,90+1’,2:0,Saúl Ñíguez,Hakim Ziyech,substitute_in
ENG-Premier League,2122,2022-05-11 Leicester City-Norwich City,Leicester City,46’,0:0,Nampalys Mendy,Ademola Lookman,substitute_in
ENG-Premier League,2122,2022-05-11 Leicester City-Norwich City,Leicester City,54’,1:0,Jamie Vardy,Harvey Barnes,goal
ENG-Premier League,2122,2022-05-11 Leicester City-Norwich City,Norwich City,58’,1:0,Jakob Sørensen,Lukas Rupp,substitute_in
ENG-Premier League,2122,2022-05-11 Leicester City-Norwich City,Leicester City,62’,2:0,Jamie Vardy,Harvey Barnes,goal
ENG-Premier League,2122,2022-05-11 Leicester City-Norwich City,Norwich City,67’,2:0,Przemysław Płacheta,Tony Springett,substitute_in
ENG-Premier League,2122,2022-05-11 Leicester City-Norwich City,Norwich City,67’,2:0,Jonathan Rowe,Milot Rashica,substitute_in
ENG-Premier League,2122,2022-05-11 Leicester City-Norwich City,Leicester City,70’,3:0,James Maddison,,goal
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Watford,14’,0:1,Cucho,,goal
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Watford,34’,0:2,Cucho,Juraj Kucka,goal
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Southampton,45’,1:2,Mohamed Elyounoussi,Che Adams,goal
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Southampton,46’,1:2,Armando Broja,William Smallbone,substitute_in
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Southampton,48’,1:2,Romain Perraud,,yellow_card
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Watford,60’,1:2,Cucho,,yellow_card
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Southampton,65’,1:2,Oriol Romeu,,yellow_card
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Southampton,74’,1:2,Nathan Redmond,Oriol Romeu,substitute_in
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Southampton,76’,1:2,Jan Bednarek,,yellow_card
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Watford,86’,1:2,Moussa Sissoko,,yellow_card
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Watford,87’,1:2,Joshua King,Emmanuel Dennis,substitute_in
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Watford,90+1’,1:2,Craig Cathcart,Kiko Femenía,substitute_in
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Southampton,90+4’,1:2,Shane Long,Armando Broja,substitute_in
ENG-Premier League,2122,2022-03-13 Southampton-Watford,Watford,90+7’,1:2,Ken Sema,Cucho,substitute_in
ENG-Premier League,2122,2021-10-16 Watford-Liverpool,Liverpool,37’,0:2,Roberto Firmino,James Milner,goal
ENG-Premier League,2122,2021-10-16 Watford-Liverpool,Watford,46’,0:2,Tom Cleverley,Adam Masina,substitute_in
ENG-Premier League,2122,2021-10-16 Watford-Liverpool,Liverpool,52’,0:3,Roberto Firmino,,goal
ENG-Premier League,2122,2021-10-16 Watford-Liverpool,Liverpool,54’,0:4,Mohamed Salah,Roberto Firmino,goal
ENG-Premier League,2122,2021-10-16 Watford-Liverpool,Watford,56’,0:4,Jeremy Ngakia,Kiko Femenía,substitute_in
ENG-Premier League,2122,2021-10-16 Watford-Liverpool,Liverpool,64’,0:4,Kostas Tsimikas,Andrew Robertson,substitute_in
ENG-Premier League,2122,2021-10-16 Watford-Liverpool,Liverpool,65’,0:4,Alex Oxlade-Chamberlain,Trent Alexander-Arnold,substitute_in
ENG-Premier League,2122,2021-10-16 Watford-Liverpool,Watford,69’,0:4,João Pedro,Emmanuel Dennis,substitute_in
ENG-Premier League,2122,2021-10-16 Watford-Liverpool,Liverpool,83’,0:4,Neco Williams,James Milner,substitute_in
ENG-Premier League,2122,2021-10-16 Watford-Liverpool,Liverpool,90+1’,0:5,Roberto Firmino,Neco Williams,goal
ENG-Premier League,2122,2021-10-16 Watford-Liverpool,Liverpool,9’,0:1,Sadio Mané,Mohamed Salah,goal
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Burnley,12’,0:1,Jamie Vardy,,own_goal
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Leicester City,37’,1:1,Jamie Vardy,Youri Tielemans,goal
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Burnley,40’,1:2,Maxwel Cornet,Matěj Vydra,goal
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Burnley,45+2’,1:2,Jóhann Berg Guðmundsson,Maxwel Cornet,substitute_in
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Burnley,45+2’,1:2,Maxwel Cornet,,yellow_card
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Leicester City,46’,1:2,Timothy Castagne,Ricardo Pereira,substitute_in
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Leicester City,5’,0:0,Jannik Vestergaard,,yellow_card
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Burnley,60’,1:2,Ashley Westwood,,yellow_card
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Leicester City,62’,1:2,Kelechi Iheanacho,Boubakary Soumaré,substitute_in
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Burnley,68’,1:2,Jóhann Berg Guðmundsson,,yellow_card
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Burnley,75’,1:2,Ashley Barnes,Matěj Vydra,substitute_in
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Leicester City,77’,1:2,Harvey Barnes,,yellow_card
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Leicester City,78’,1:2,James Maddison,Ademola Lookman,substitute_in
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Leicester City,85’,2:2,Jamie Vardy,Kelechi Iheanacho,goal
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Burnley,87’,2:2,Aaron Lennon,Dwight McNeil,substitute_in
ENG-Premier League,2122,2021-09-25 Leicester City-Burnley,Burnley,90+2’,2:2,James Tarkowski,,yellow_card
ENG-Premier League,2122,2022-03-10 Southampton-Newcastle United,Newcastle United,16’,0:0,Jacob Murphy,,yellow_card
ENG-Premier League,2122,2022-03-10 Southampton-Newcastle United,Southampton,25’,1:0,Stuart Armstrong,,goal
ENG-Premier League,2122,2022-03-10 Southampton-Newcastle United,Newcastle United,32’,1:1,Chris Wood,Jonjo Shelvey,goal
ENG-Premier League,2122,2022-03-10 Southampton-Newcastle United,Newcastle United,52’,1:2,Bruno Guimarães,Dan Burn,goal
ENG-Premier League,2122,2022-03-10 Southampton-Newcastle United,Newcastle United,67’,1:2,Sean Longstaff,Bruno Guimarães,substitute_in
ENG-Premier League,2122,2022-03-10 Southampton-Newcastle United,Southampton,72’,1:2,Jan Bednarek,,yellow_card
ENG-Premier League,2122,2022-03-10 Southampton-Newcastle United,Southampton,73’,1:2,Adam Armstrong,Armando Broja,substitute_in
ENG-Premier League,2122,2022-03-10 Southampton-Newcastle United,Southampton,79’,1:2,Shane Long,Oriol Romeu,substitute_in
ENG-Premier League,2122,2022-03-10 Southampton-Newcastle United,Southampton,85’,1:2,Moussa Djenepo,Mohamed Elyounoussi,substitute_in
ENG-Premier League,2122,2022-03-10 Southampton-Newcastle United,Newcastle United,85’,1:2,Miguel Almirón,Ryan Fraser,substitute_in
ENG-Premier League,2122,2022-03-10 Southampton-Newcastle United,Newcastle United,90+1’,1:2,Javier Manquillo,Emil Krafth,substitute_in
ENG-Premier League,2122,2021-09-19 West Ham United-Manchester Utd,West Ham United,30’,1:0,Saïd Benrahma,Jarrod Bowen,goal
ENG-Premier League,2122,2021-09-19 West Ham United-Manchester Utd,Manchester United,35’,1:1,Cristiano Ronaldo,,goal
ENG-Premier League,2122,2021-09-19 West Ham United-Manchester Utd,West Ham United,68’,1:1,Andriy Yarmolenko,Nikola Vlašić,substitute_in
ENG-Premier League,2122,2021-09-19 West Ham United-Manchester Utd,Manchester United,73’,1:1,Jadon Sancho,Mason Greenwood,substitute_in
ENG-Premier League,2122,2021-09-19 West Ham United-Manchester Utd,Manchester United,73’,1:1,Jesse Lingard,Paul Pogba,substitute_in
ENG-Premier League,2122,2021-09-19 West Ham United-Manchester Utd,West Ham United,88’,1:1,Manuel Lanzini,Saïd Benrahma,substitute_in
ENG-Premier League,2122,2021-09-19 West Ham United-Manchester Utd,Manchester United,88’,1:1,Nemanja Matić,Fred,substitute_in
ENG-Premier League,2122,2021-09-19 West Ham United-Manchester Utd,Manchester United,89’,1:2,Jesse Lingard,Nemanja Matić,goal
ENG-Premier League,2122,2021-09-19 West Ham United-Manchester Utd,West Ham United,90+4’,1:2,Mark Noble,Jarrod Bowen,substitute_in
ENG-Premier League,2122,2021-09-19 West Ham United-Manchester Utd,West Ham United,90+5’,1:2,Mark Noble,David de Gea,penalty_miss
ENG-Premier League,2122,2022-03-06 Manchester City-Manchester Utd,Manchester United,22’,1:1,Jadon Sancho,Paul Pogba,goal
ENG-Premier League,2122,2022-03-06 Manchester City-Manchester Utd,Manchester City,28’,2:1,Kevin De Bruyne,,goal
ENG-Premier League,2122,2022-03-06 Manchester City-Manchester Utd,Manchester City,5’,1:0,Kevin De Bruyne,Bernardo Silva,goal
ENG-Premier League,2122,2022-03-06 Manchester City-Manchester Utd,Manchester United,63’,2:1,Harry Maguire,,yellow_card
ENG-Premier League,2122,2022-03-06 Manchester City-Manchester Utd,Manchester United,64’,2:1,Jesse Lingard,Anthony Elanga,substitute_in
ENG-Premier League,2122,2022-03-06 Manchester City-Manchester Utd,Manchester United,64’,2:1,Marcus Rashford,Paul Pogba,substitute_in
ENG-Premier League,2122,2022-03-06 Manchester City-Manchester Utd,Manchester City,68’,3:1,Riyad Mahrez,Kevin De Bruyne,goal
ENG-Premier League,2122,2022-03-06 Manchester City-Manchester Utd,Manchester City,80’,3:1,İlkay Gündoğan,Kevin De Bruyne,substitute_in
ENG-Premier League,2122,2022-03-06 Manchester City-Manchester Utd,Manchester City,90+1’,4:1,Riyad Mahrez,İlkay Gündoğan,goal
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Burnley,19’,0:0,Josh Brownhill,,yellow_card
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Burnley,28’,0:0,Ashley Barnes,,yellow_card
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Leeds United,38’,0:0,Kalvin Phillips,,yellow_card
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Burnley,45+1’,0:0,Ben Mee,,yellow_card
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Leeds United,53’,0:0,Rodrigo,,yellow_card
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Burnley,61’,1:0,Chris Wood,Matthew Lowton,goal
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Burnley,63’,1:0,Aaron Lennon,Jóhann Berg Guðmundsson,substitute_in
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Leeds United,65’,1:0,Jamie Shackleton,Diego Llorente,substitute_in
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Leeds United,73’,1:0,Tyler Roberts,Rodrigo,substitute_in
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Burnley,79’,1:0,Matěj Vydra,Ashley Barnes,substitute_in
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Leeds United,81’,1:0,Pascal Struijk,,yellow_card
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Leeds United,86’,1:1,Patrick Bamford,,goal
ENG-Premier League,2122,2021-08-29 Burnley-Leeds United,Burnley,90+1’,1:1,Aaron Lennon,,yellow_card
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Chelsea,14’,0:1,Antonio Rüdiger,Ben Chilwell,goal
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Chelsea,28’,0:2,N'Golo Kanté,Reece James,goal
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Leicester City,40’,0:2,Daniel Amartey,,yellow_card
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Leicester City,45’,0:2,Kasper Schmeichel,,yellow_card
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Leicester City,45’,0:2,Jonny Evans,,yellow_card
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Leicester City,46’,0:2,James Maddison,Harvey Barnes,substitute_in
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Leicester City,46’,0:2,Kelechi Iheanacho,Ademola Lookman,substitute_in
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Chelsea,62’,0:2,Hakim Ziyech,Mason Mount,substitute_in
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Chelsea,62’,0:2,Christian Pulisic,Kai Havertz,substitute_in
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Chelsea,65’,0:2,Edouard Mendy,,yellow_card
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Chelsea,71’,0:3,Christian Pulisic,Hakim Ziyech,goal
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Leicester City,75’,0:3,Kiernan Dewsbury-Hall,Boubakary Soumaré,substitute_in
ENG-Premier League,2122,2021-11-20 Leicester City-Chelsea,Chelsea,77’,0:3,Ruben Loftus-Cheek,Jorginho,substitute_in
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Chelsea,33’,1:0,Kai Havertz,Reece James,goal
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Burnley,61’,1:0,Jay Rodriguez,Chris Wood,substitute_in
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Burnley,68’,1:0,Ashley Westwood,,yellow_card
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Burnley,70’,1:0,Matěj Vydra,Jóhann Berg Guðmundsson,substitute_in
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Chelsea,73’,1:0,Ruben Loftus-Cheek,Ross Barkley,substitute_in
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Chelsea,76’,1:0,Reece James,,yellow_card
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Burnley,76’,1:0,Maxwel Cornet,,yellow_card
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Burnley,79’,1:1,Matěj Vydra,Jay Rodriguez,goal
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Burnley,84’,1:1,James Tarkowski,,yellow_card
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Chelsea,85’,1:1,Christian Pulisic,Callum Hudson-Odoi,substitute_in
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Chelsea,85’,1:1,Mason Mount,N'Golo Kanté,substitute_in
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Burnley,88’,1:1,Erik Pieters,Maxwel Cornet,substitute_in
ENG-Premier League,2122,2021-11-06 Chelsea-Burnley,Burnley,90’,1:1,Josh Brownhill,,yellow_card
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Watford,11’,0:0,Ismaila Sarr,David de Gea,penalty_miss
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Manchester United,19’,0:0,Scott McTominay,,yellow_card
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Watford,28’,1:0,Joshua King,Emmanuel Dennis,goal
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Watford,44’,2:0,Ismaila Sarr,Kiko Femenía,goal
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Watford,45’,2:0,Imran Louza,,yellow_card
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Manchester United,46’,2:0,Donny van de Beek,Scott McTominay,substitute_in
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Manchester United,46’,2:0,Anthony Martial,Marcus Rashford,substitute_in
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Manchester United,50’,2:1,Donny van de Beek,Cristiano Ronaldo,goal
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Manchester United,62’,2:1,Harry Maguire,,yellow_card
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Watford,64’,2:1,William Troost-Ekong,Nicolas Nkoulou,substitute_in
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Watford,68’,2:1,Cucho,Ismaila Sarr,substitute_in
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Manchester United,69’,2:1,Harry Maguire,,yellow_red_card
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Watford,77’,2:1,João Pedro,Imran Louza,substitute_in
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Manchester United,85’,2:1,Diogo Dalot,Luke Shaw,substitute_in
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Manchester United,90+1’,2:1,Jesse Lingard,Jadon Sancho,substitute_in
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Watford,90+2’,3:1,João Pedro,Emmanuel Dennis,goal
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Watford,90+6’,4:1,Emmanuel Dennis,,yellow_card
ENG-Premier League,2122,2021-11-20 Watford-Manchester Utd,Watford,90+6’,4:1,Emmanuel Dennis,Ben Foster,goal
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Aston Villa,13’,1:0,Ashley Young,Lucas Digne,substitute_in
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Wolverhampton Wanderers,25’,1:0,Conor Coady,,yellow_card
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Wolverhampton Wanderers,36’,2:0,Ashley Young,,own_goal
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Aston Villa,38’,2:0,John McGinn,,yellow_card
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Wolverhampton Wanderers,66’,2:0,Jonny Castro,,yellow_card
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Wolverhampton Wanderers,68’,2:0,Hwang Hee-chan,Daniel Podence,substitute_in
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Aston Villa,72’,2:0,Douglas Luiz,Morgan Sanson,substitute_in
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Aston Villa,74’,2:0,Emi Buendía,Philippe Coutinho,substitute_in
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Wolverhampton Wanderers,75’,2:0,Pedro Neto,Francisco Trincão,substitute_in
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Wolverhampton Wanderers,7’,1:0,Jonny Castro,,goal
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Aston Villa,86’,2:1,Ollie Watkins,,penalty_goal
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Wolverhampton Wanderers,90+1’,2:1,Chiquinho,Fábio Silva,substitute_in
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Wolverhampton Wanderers,90+2’,2:1,Fernando Marçal,,yellow_card
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Wolverhampton Wanderers,90+3’,2:1,Pedro Neto,,yellow_card
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Aston Villa,90+3’,2:1,Ashley Young,,yellow_card
ENG-Premier League,2122,2022-04-02 Wolves-Aston Villa,Aston Villa,90+4’,2:1,Ezri Konsa,,yellow_card
ENG-Premier League,2122,2022-04-24 Brighton-Southampton,Brighton & Hove Albion,2’,1:0,Danny Welbeck,,goal
ENG-Premier League,2122,2022-04-24 Brighton-Southampton,Southampton,37’,1:0,Romain Perraud,Valentino Livramento,substitute_in
ENG-Premier League,2122,2022-04-24 Brighton-Southampton,Brighton & Hove Albion,44’,2:0,Mohammed Salisu,,own_goal
ENG-Premier League,2122,2022-04-24 Brighton-Southampton,Brighton & Hove Albion,45+3’,2:0,Marc Cucurella,,yellow_card
ENG-Premier League,2122,2022-04-24 Brighton-Southampton,Southampton,45+4’,2:1,James Ward-Prowse,,goal
ENG-Premier League,2122,2022-04-24 Brighton-Southampton,Southampton,54’,2:2,James Ward-Prowse,Oriol Romeu,goal
ENG-Premier League,2122,2022-04-24 Brighton-Southampton,Brighton & Hove Albion,61’,2:2,Pascal Groß,Adam Webster,substitute_in
ENG-Premier League,2122,2022-04-24 Brighton-Southampton,Brighton & Hove Albion,61’,2:2,Solly March,Enock Mwepu,substitute_in
ENG-Premier League,2122,2022-04-24 Brighton-Southampton,Southampton,66’,2:2,Stuart Armstrong,Nathan Tella,substitute_in
ENG-Premier League,2122,2022-04-24 Brighton-Southampton,Southampton,79’,2:2,Armando Broja,Shane Long,substitute_in
ENG-Premier League,2122,2022-04-24 Brighton-Southampton,Brighton & Hove Albion,85’,2:2,Jeremy Sarmiento,Neal Maupay,substitute_in
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Southampton,30’,1:0,Fred,,own_goal
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Manchester United,31’,1:0,Bruno Fernandes,,yellow_card
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Southampton,46’,1:0,Jan Bednarek,Theo Walcott,substitute_in
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Southampton,51’,1:0,Moussa Djenepo,,yellow_card
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Manchester United,55’,1:1,Mason Greenwood,Paul Pogba,goal
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Manchester United,59’,1:1,Jadon Sancho,Anthony Martial,substitute_in
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Southampton,70’,1:1,Ibrahima Diallo,Moussa Djenepo,substitute_in
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Manchester United,76’,1:1,Harry Maguire,,yellow_card
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Manchester United,76’,1:1,Scott McTominay,Fred,substitute_in
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Southampton,79’,1:1,Kyle Walker-Peters,Romain Perraud,substitute_in
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Manchester United,86’,1:1,Jesse Lingard,Nemanja Matić,substitute_in
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Manchester United,90+1’,1:1,Paul Pogba,,yellow_card
ENG-Premier League,2122,2021-08-22 Southampton-Manchester Utd,Southampton,90+2’,1:1,Jack Stephens,,yellow_card
ENG-Premier League,2122,2022-01-02 Chelsea-Liverpool,Chelsea,17’,0:1,Christian Pulisic,,yellow_card
ENG-Premier League,2122,2022-01-02 Chelsea-Liverpool,Liverpool,1’,0:0,Sadio Mané,,yellow_card
