league,season,game,team,player,nation,age,min,Shot Stopping_SoTA,Shot Stopping_GA,Shot Stopping_Saves,Shot Stopping_Save%,game_id
ENG-Premier League,1718,2017-10-28 Manchester Utd-Tottenham Hotspur,Manchester United,David de Gea,ESP,26-355,90,4,0,4,100.0,11f75bcb
ENG-Premier League,1718,2017-10-28 Manchester Utd-Tottenham Hotspur,Tottenham Hotspur,Hugo Lloris,FRA,30-306,90,3,1,2,66.7,11f75bcb
ENG-Premier League,1718,2017-10-28 Watford-Stoke City,Stoke City,Jack Butland,ENG,24-232,90,0,0,0,,7834b95f
ENG-Premier League,1718,2017-10-28 Watford-Stoke City,Watford,Heurelho Gomes,BRA,36-255,90,2,1,1,50.0,7834b95f
ENG-Premier League,1718,2017-10-28 West Brom-Manchester City,Manchester City,Ederson,BRA,24-072,90,4,2,2,50.0,fdbbce69
ENG-Premier League,1718,2017-10-28 West Brom-Manchester City,West Bromwich Albion,Ben Foster,ENG,34-208,90,5,3,2,40.0,fdbbce69
ENG-Premier League,1718,2017-10-29 Brighton-Southampton,Brighton & Hove Albion,Mathew Ryan,AUS,25-204,90,1,1,0,0.0,864d3ffd
ENG-Premier League,1718,2017-10-29 Brighton-Southampton,Southampton,Fraser Forster,ENG,29-226,90,2,1,1,50.0,864d3ffd
ENG-Premier League,1718,2017-10-29 Leicester City-Everton,Everton,Jordan Pickford,ENG,23-236,90,3,2,1,33.3,f6cf8af5
ENG-Premier League,1718,2017-10-29 Leicester City-Everton,Leicester City,Kasper Schmeichel,DEN,30-358,90,2,0,2,100.0,f6cf8af5
ENG-Premier League,1718,2017-10-30 Burnley-Newcastle United,Burnley,Nick Pope,ENG,25-194,90,5,0,5,100.0,d41003f2
ENG-Premier League,1718,2017-10-30 Burnley-Newcastle United,Newcastle United,Rob Elliot,IRL,31-183,90,5,1,4,80.0,d41003f2
ENG-Premier League,1718,2017-11-04 Huddersfield Town-West Brom,Huddersfield Town,Jonas Lössl,DEN,28-276,90,3,0,3,100.0,b2cc19bf
ENG-Premier League,1718,2017-11-04 Huddersfield Town-West Brom,West Bromwich Albion,Ben Foster,ENG,34-215,90,3,1,2,66.7,b2cc19bf
ENG-Premier League,1718,2017-11-04 Newcastle United-Bournemouth,Bournemouth,Asmir Begović,BIH,30-137,90,4,0,4,100.0,b2dc70f2
ENG-Premier League,1718,2017-11-04 Newcastle United-Bournemouth,Newcastle United,Rob Elliot,IRL,31-188,90,5,1,4,80.0,b2dc70f2
ENG-Premier League,1718,2017-11-04 Southampton-Burnley,Burnley,Nick Pope,ENG,25-199,90,3,0,3,100.0,2849b3bf
ENG-Premier League,1718,2017-11-04 Southampton-Burnley,Southampton,Fraser Forster,ENG,29-232,90,1,1,0,0.0,2849b3bf
ENG-Premier League,1718,2017-11-04 Stoke City-Leicester City,Leicester City,Kasper Schmeichel,DEN,30-364,90,7,2,5,71.4,3cefdf58
ENG-Premier League,1718,2017-11-04 Stoke City-Leicester City,Stoke City,Jack Butland,ENG,24-239,90,4,2,2,50.0,3cefdf58
ENG-Premier League,1718,2017-11-04 Swansea City-Brighton,Brighton & Hove Albion,Mathew Ryan,AUS,25-210,90,2,0,2,100.0,4282f27d
ENG-Premier League,1718,2017-11-04 Swansea City-Brighton,Swansea City,Łukasz Fabiański,POL,32-200,90,2,1,1,50.0,4282f27d
ENG-Premier League,1718,2017-11-04 West Ham United-Liverpool,Liverpool,Simon Mignolet,BEL,29-243,90,1,1,0,0.0,172202bc
ENG-Premier League,1718,2017-11-04 West Ham United-Liverpool,West Ham United,Joe Hart,ENG,30-199,90,8,4,4,50.0,172202bc
ENG-Premier League,1718,2017-11-05 Chelsea-Manchester Utd,Chelsea,Thibaut Courtois,BEL,25-178,90,2,0,2,100.0,70104ce7
ENG-Premier League,1718,2017-11-05 Chelsea-Manchester Utd,Manchester United,David de Gea,ESP,26-363,90,8,1,7,87.5,70104ce7
ENG-Premier League,1718,2017-11-05 Everton-Watford,Everton,Jordan Pickford,ENG,23-243,90,3,2,1,33.3,113bc344
ENG-Premier League,1718,2017-11-05 Everton-Watford,Watford,Heurelho Gomes,BRA,36-263,58,2,0,2,100.0,113bc344
ENG-Premier League,1718,2017-11-05 Everton-Watford,Watford,Orestis Karnezis,GRE,32-117,31,2,3,0,0.0,113bc344
ENG-Premier League,1718,2017-11-05 Manchester City-Arsenal,Arsenal,Petr Čech,CZE,35-169,90,5,3,3,60.0,03da14dd
ENG-Premier League,1718,2017-11-05 Manchester City-Arsenal,Manchester City,Ederson,BRA,24-080,90,3,1,2,66.7,03da14dd
ENG-Premier League,1718,2017-11-05 Tottenham Hotspur-Crystal Palace,Crystal Palace,Julián Speroni,ARG,38-171,90,2,1,1,50.0,c91bcebc
ENG-Premier League,1718,2017-11-05 Tottenham Hotspur-Crystal Palace,Tottenham Hotspur,Paulo Gazzaniga,ARG,25-307,90,3,0,3,100.0,c91bcebc
ENG-Premier League,1718,2017-11-18 Arsenal-Tottenham Hotspur,Arsenal,Petr Čech,CZE,35-182,90,4,0,4,100.0,ae345878
ENG-Premier League,1718,2017-11-18 Arsenal-Tottenham Hotspur,Tottenham Hotspur,Hugo Lloris,FRA,30-327,90,5,2,3,60.0,ae345878
ENG-Premier League,1718,2017-11-18 Bournemouth-Huddersfield Town,Bournemouth,Asmir Begović,BIH,30-151,90,3,0,3,100.0,5e8ab70a
ENG-Premier League,1718,2017-11-18 Bournemouth-Huddersfield Town,Huddersfield Town,Jonas Lössl,DEN,28-290,90,5,4,1,20.0,5e8ab70a
ENG-Premier League,1718,2017-11-18 Burnley-Swansea City,Burnley,Nick Pope,ENG,25-213,90,1,0,1,100.0,807a3956
ENG-Premier League,1718,2017-11-18 Burnley-Swansea City,Swansea City,Łukasz Fabiański,POL,32-214,90,8,2,6,75.0,807a3956
ENG-Premier League,1718,2017-11-18 Crystal Palace-Everton,Crystal Palace,Julián Speroni,ARG,38-184,90,4,2,3,75.0,a96b0eaa
ENG-Premier League,1718,2017-11-18 Crystal Palace-Everton,Everton,Jordan Pickford,ENG,23-256,90,7,2,5,71.4,a96b0eaa
ENG-Premier League,1718,2017-11-18 Leicester City-Manchester City,Leicester City,Kasper Schmeichel,DEN,31-013,90,4,2,2,50.0,fd125d0b
ENG-Premier League,1718,2017-11-18 Leicester City-Manchester City,Manchester City,Ederson,BRA,24-093,90,1,0,1,100.0,fd125d0b
ENG-Premier League,1718,2017-11-18 Liverpool-Southampton,Liverpool,Simon Mignolet,BEL,29-257,90,0,0,0,,78df644e
ENG-Premier League,1718,2017-11-18 Liverpool-Southampton,Southampton,Fraser Forster,ENG,29-246,90,8,3,5,62.5,78df644e
ENG-Premier League,1718,2017-11-18 Manchester Utd-Newcastle United,Manchester United,David de Gea,ESP,27-011,90,5,1,4,80.0,a624cbc4
ENG-Premier League,1718,2017-11-18 Manchester Utd-Newcastle United,Newcastle United,Rob Elliot,IRL,31-202,90,7,4,3,42.9,a624cbc4
ENG-Premier League,1718,2017-11-18 West Brom-Chelsea,Chelsea,Thibaut Courtois,BEL,25-191,90,2,0,2,100.0,499d50ec
ENG-Premier League,1718,2017-11-18 West Brom-Chelsea,West Bromwich Albion,Ben Foster,ENG,34-229,90,7,4,3,42.9,499d50ec
ENG-Premier League,1718,2017-11-19 Watford-West Ham United,Watford,Heurelho Gomes,BRA,36-277,90,5,0,5,100.0,236c48b6
ENG-Premier League,1718,2017-11-19 Watford-West Ham United,West Ham United,Joe Hart,ENG,30-214,90,7,2,5,71.4,236c48b6
ENG-Premier League,1718,2017-11-20 Brighton-Stoke City,Brighton & Hove Albion,Mathew Ryan,AUS,25-226,90,6,2,4,66.7,77995c06
ENG-Premier League,1718,2017-11-20 Brighton-Stoke City,Stoke City,Lee Grant,ENG,34-297,90,3,2,1,33.3,77995c06
ENG-Premier League,1718,2017-11-24 West Ham United-Leicester City,Leicester City,Kasper Schmeichel,DEN,31-019,90,4,1,3,75.0,3ac99526
ENG-Premier League,1718,2017-11-24 West Ham United-Leicester City,West Ham United,Joe Hart,ENG,30-219,90,2,1,1,50.0,3ac99526
ENG-Premier League,1718,2017-11-25 Crystal Palace-Stoke City,Crystal Palace,Wayne Hennessey,WAL,30-305,90,3,1,2,66.7,d6d1f3dc
ENG-Premier League,1718,2017-11-25 Crystal Palace-Stoke City,Stoke City,Lee Grant,ENG,34-302,90,5,2,3,60.0,d6d1f3dc
ENG-Premier League,1718,2017-11-25 Liverpool-Chelsea,Chelsea,Thibaut Courtois,BEL,25-198,90,4,1,3,75.0,aa480195
ENG-Premier League,1718,2017-11-25 Liverpool-Chelsea,Liverpool,Simon Mignolet,BEL,29-264,90,3,1,2,66.7,aa480195
ENG-Premier League,1718,2017-11-25 Manchester Utd-Brighton,Brighton & Hove Albion,Mathew Ryan,AUS,25-231,90,5,1,4,80.0,8d061522
ENG-Premier League,1718,2017-11-25 Manchester Utd-Brighton,Manchester United,David de Gea,ESP,27-018,90,2,0,2,100.0,8d061522
ENG-Premier League,1718,2017-11-25 Newcastle United-Watford,Newcastle United,Rob Elliot,IRL,31-209,90,5,3,2,40.0,dfc83a02
ENG-Premier League,1718,2017-11-25 Newcastle United-Watford,Watford,Heurelho Gomes,BRA,36-283,90,2,0,2,100.0,dfc83a02
ENG-Premier League,1718,2017-11-25 Swansea City-Bournemouth,Bournemouth,Asmir Begović,BIH,30-158,90,1,0,1,100.0,bc90e5b8
ENG-Premier League,1718,2017-11-25 Swansea City-Bournemouth,Swansea City,Łukasz Fabiański,POL,32-221,90,5,0,5,100.0,bc90e5b8
ENG-Premier League,1718,2017-11-25 Tottenham Hotspur-West Brom,Tottenham Hotspur,Hugo Lloris,FRA,30-334,90,2,1,1,50.0,0ea2d13d
ENG-Premier League,1718,2017-11-25 Tottenham Hotspur-West Brom,West Bromwich Albion,Ben Foster,ENG,34-236,90,5,1,4,80.0,0ea2d13d
ENG-Premier League,1718,2017-11-26 Burnley-Arsenal,Arsenal,Petr Čech,CZE,35-190,90,2,0,2,100.0,0ad47126
ENG-Premier League,1718,2017-11-26 Burnley-Arsenal,Burnley,Nick Pope,ENG,25-221,90,1,1,1,100.0,0ad47126
ENG-Premier League,1718,2017-11-26 Huddersfield Town-Manchester City,Huddersfield Town,Jonas Lössl,DEN,28-298,90,4,2,3,75.0,c150919a
ENG-Premier League,1718,2017-11-26 Huddersfield Town-Manchester City,Manchester City,Ederson,BRA,24-101,90,1,1,0,0.0,c150919a
ENG-Premier League,1718,2017-11-26 Southampton-Everton,Everton,Jordan Pickford,ENG,23-264,90,5,4,1,20.0,24bc9343
ENG-Premier League,1718,2017-11-26 Southampton-Everton,Southampton,Fraser Forster,ENG,29-254,90,2,1,1,50.0,24bc9343
ENG-Premier League,1718,2017-11-28 Brighton-Crystal Palace,Brighton & Hove Albion,Mathew Ryan,AUS,25-234,90,4,0,4,100.0,2b611e0f
ENG-Premier League,1718,2017-11-28 Brighton-Crystal Palace,Crystal Palace,Wayne Hennessey,WAL,30-308,90,3,0,3,100.0,2b611e0f
ENG-Premier League,1718,2017-11-28 Leicester City-Tottenham Hotspur,Leicester City,Kasper Schmeichel,DEN,31-023,90,5,1,4,80.0,49a854c5
ENG-Premier League,1718,2017-11-28 Leicester City-Tottenham Hotspur,Tottenham Hotspur,Hugo Lloris,FRA,30-337,90,3,2,1,33.3,49a854c5
ENG-Premier League,1718,2017-11-28 Watford-Manchester Utd,Manchester United,David de Gea,ESP,27-021,90,2,2,1,50.0,1a4b3369
ENG-Premier League,1718,2017-11-28 Watford-Manchester Utd,Watford,Heurelho Gomes,BRA,36-286,90,6,4,2,33.3,1a4b3369
ENG-Premier League,1718,2017-11-28 West Brom-Newcastle United,Newcastle United,Karl Darlow,WAL,27-051,90,4,2,2,50.0,c9a6291f
ENG-Premier League,1718,2017-11-28 West Brom-Newcastle United,West Bromwich Albion,Ben Foster,ENG,34-239,90,5,2,3,60.0,c9a6291f
ENG-Premier League,1718,2017-11-29 Arsenal-Huddersfield Town,Arsenal,Petr Čech,CZE,35-193,90,2,0,2,100.0,5765760d
ENG-Premier League,1718,2017-11-29 Arsenal-Huddersfield Town,Huddersfield Town,Jonas Lössl,DEN,28-301,90,6,5,1,16.7,5765760d
ENG-Premier League,1718,2017-11-29 Bournemouth-Burnley,Bournemouth,Asmir Begović,BIH,30-162,90,4,2,2,50.0,0f0e0f7f
ENG-Premier League,1718,2017-11-29 Bournemouth-Burnley,Burnley,Nick Pope,ENG,25-224,90,2,1,1,50.0,0f0e0f7f
ENG-Premier League,1718,2017-11-29 Chelsea-Swansea City,Chelsea,Thibaut Courtois,BEL,25-202,90,0,0,0,,0d60e1e4
ENG-Premier League,1718,2017-11-29 Chelsea-Swansea City,Swansea City,Łukasz Fabiański,POL,32-225,90,10,1,9,90.0,0d60e1e4
ENG-Premier League,1718,2017-11-29 Everton-West Ham United,Everton,Jordan Pickford,ENG,23-267,90,1,0,2,100.0,a302fbdd
ENG-Premier League,1718,2017-11-29 Everton-West Ham United,West Ham United,Joe Hart,ENG,30-224,90,3,4,0,-33.3,a302fbdd
ENG-Premier League,1718,2017-11-29 Manchester City-Southampton,Manchester City,Ederson,BRA,24-104,90,2,1,1,50.0,cb554100
ENG-Premier League,1718,2017-11-29 Manchester City-Southampton,Southampton,Fraser Forster,ENG,29-257,90,12,2,10,83.3,cb554100
ENG-Premier League,1718,2017-11-29 Stoke City-Liverpool,Liverpool,Simon Mignolet,BEL,29-268,90,1,0,1,100.0,21c13e13
ENG-Premier League,1718,2017-11-29 Stoke City-Liverpool,Stoke City,Lee Grant,ENG,34-306,90,7,3,4,57.1,21c13e13
ENG-Premier League,1718,2017-12-02 Arsenal-Manchester Utd,Arsenal,Petr Čech,CZE,35-196,90,5,3,2,40.0,baa538cc
ENG-Premier League,1718,2017-12-02 Arsenal-Manchester Utd,Manchester United,David de Gea,ESP,27-025,90,15,1,14,93.3,baa538cc
ENG-Premier League,1718,2017-12-02 Brighton-Liverpool,Brighton & Hove Albion,Mathew Ryan,AUS,25-238,90,7,5,2,28.6,92a410a2
ENG-Premier League,1718,2017-12-02 Brighton-Liverpool,Liverpool,Simon Mignolet,BEL,29-271,90,1,1,1,100.0,92a410a2
ENG-Premier League,1718,2017-12-02 Chelsea-Newcastle United,Chelsea,Thibaut Courtois,BEL,25-205,90,2,1,1,50.0,66efb2b9
ENG-Premier League,1718,2017-12-02 Chelsea-Newcastle United,Newcastle United,Karl Darlow,WAL,27-055,90,8,3,6,75.0,66efb2b9
ENG-Premier League,1718,2017-12-02 Everton-Huddersfield Town,Everton,Jordan Pickford,ENG,23-270,90,3,0,3,100.0,cfc62400
ENG-Premier League,1718,2017-12-02 Everton-Huddersfield Town,Huddersfield Town,Jonas Lössl,DEN,28-304,90,4,2,2,50.0,cfc62400
ENG-Premier League,1718,2017-12-02 Leicester City-Burnley,Burnley,Nick Pope,ENG,25-227,90,3,1,2,66.7,fbda6872
ENG-Premier League,1718,2017-12-02 Leicester City-Burnley,Leicester City,Kasper Schmeichel,DEN,31-027,90,4,0,4,100.0,fbda6872
ENG-Premier League,1718,2017-12-02 Stoke City-Swansea City,Stoke City,Jack Butland,ENG,24-267,90,4,1,3,75.0,83bc0290
ENG-Premier League,1718,2017-12-02 Stoke City-Swansea City,Swansea City,Łukasz Fabiański,POL,32-228,90,3,2,1,33.3,83bc0290
ENG-Premier League,1718,2017-12-02 Watford-Tottenham Hotspur,Tottenham Hotspur,Hugo Lloris,FRA,30-341,90,2,1,1,50.0,0dbc6a97
ENG-Premier League,1718,2017-12-02 Watford-Tottenham Hotspur,Watford,Heurelho Gomes,BRA,36-290,90,2,1,1,50.0,0dbc6a97
ENG-Premier League,1718,2017-12-02 West Brom-Crystal Palace,Crystal Palace,Julián Speroni,ARG,38-198,90,6,0,6,100.0,4a14eedc
ENG-Premier League,1718,2017-12-02 West Brom-Crystal Palace,West Bromwich Albion,Ben Foster,ENG,34-243,90,2,0,2,100.0,4a14eedc
ENG-Premier League,1718,2017-12-03 Bournemouth-Southampton,Bournemouth,Asmir Begović,BIH,30-166,90,3,1,2,66.7,3a114119
ENG-Premier League,1718,2017-12-03 Bournemouth-Southampton,Southampton,Fraser Forster,ENG,29-261,90,5,1,4,80.0,3a114119
ENG-Premier League,1718,2017-12-03 Manchester City-West Ham United,Manchester City,Ederson,BRA,24-108,90,4,1,3,75.0,7c65617e
ENG-Premier League,1718,2017-12-03 Manchester City-West Ham United,West Ham United,Adrián,ESP,30-334,90,8,2,6,75.0,7c65617e
ENG-Premier League,1718,2017-12-09 Burnley-Watford,Burnley,Nick Pope,ENG,25-234,90,2,0,2,100.0,db3b2aca
ENG-Premier League,1718,2017-12-09 Burnley-Watford,Watford,Heurelho Gomes,BRA,36-297,90,5,1,4,80.0,db3b2aca
ENG-Premier League,1718,2017-12-09 Crystal Palace-Bournemouth,Bournemouth,Asmir Begović,BIH,30-172,90,5,2,5,80.0,4aa97fef
ENG-Premier League,1718,2017-12-09 Crystal Palace-Bournemouth,Crystal Palace,Julián Speroni,ARG,38-205,90,5,2,3,60.0,4aa97fef
ENG-Premier League,1718,2017-12-09 Huddersfield Town-Brighton,Brighton & Hove Albion,Mathew Ryan,AUS,25-245,90,6,2,4,66.7,1e0cec3d
ENG-Premier League,1718,2017-12-09 Huddersfield Town-Brighton,Huddersfield Town,Jonas Lössl,DEN,28-311,90,2,0,2,100.0,1e0cec3d
ENG-Premier League,1718,2017-12-09 Newcastle United-Leicester City,Leicester City,Kasper Schmeichel,DEN,31-034,90,4,2,2,50.0,14f71230
ENG-Premier League,1718,2017-12-09 Newcastle United-Leicester City,Newcastle United,Karl Darlow,WAL,27-062,90,6,3,3,50.0,14f71230
ENG-Premier League,1718,2017-12-09 Swansea City-West Brom,Swansea City,Łukasz Fabiański,POL,32-235,90,1,0,1,100.0,dbcf5536
ENG-Premier League,1718,2017-12-09 Swansea City-West Brom,West Bromwich Albion,Ben Foster,ENG,34-250,90,3,1,2,66.7,dbcf5536
ENG-Premier League,1718,2017-12-09 Tottenham Hotspur-Stoke City,Stoke City,Jack Butland,ENG,24-274,90,12,5,7,58.3,a91a2bf3
ENG-Premier League,1718,2017-12-09 Tottenham Hotspur-Stoke City,Tottenham Hotspur,Hugo Lloris,FRA,30-348,90,3,1,2,66.7,a91a2bf3
ENG-Premier League,1718,2017-12-09 West Ham United-Chelsea,Chelsea,Thibaut Courtois,BEL,25-212,90,2,1,1,50.0,efda9b14
ENG-Premier League,1718,2017-12-09 West Ham United-Chelsea,West Ham United,Adrián,ESP,30-340,90,2,0,2,100.0,efda9b14
ENG-Premier League,1718,2017-12-10 Liverpool-Everton,Everton,Jordan Pickford,ENG,23-278,90,3,1,2,66.7,347ec791
ENG-Premier League,1718,2017-12-10 Liverpool-Everton,Liverpool,Simon Mignolet,BEL,29-279,90,1,1,1,100.0,347ec791
ENG-Premier League,1718,2017-12-10 Manchester Utd-Manchester City,Manchester City,Ederson,BRA,24-115,90,5,1,4,80.0,52419e39
ENG-Premier League,1718,2017-12-10 Manchester Utd-Manchester City,Manchester United,David de Gea,ESP,27-033,90,7,2,5,71.4,52419e39
ENG-Premier League,1718,2017-12-10 Southampton-Arsenal,Arsenal,Petr Čech,CZE,35-204,90,3,1,2,66.7,8a233cbd
ENG-Premier League,1718,2017-12-10 Southampton-Arsenal,Southampton,Fraser Forster,ENG,29-268,90,6,1,5,83.3,8a233cbd
ENG-Premier League,1718,2017-12-12 Burnley-Stoke City,Burnley,Nick Pope,ENG,25-237,90,7,0,7,100.0,8ff402f4
ENG-Premier League,1718,2017-12-12 Burnley-Stoke City,Stoke City,Jack Butland,ENG,24-277,90,2,1,1,50.0,8ff402f4
ENG-Premier League,1718,2017-12-12 Crystal Palace-Watford,Crystal Palace,Julián Speroni,ARG,38-208,90,2,1,1,50.0,099b2800
ENG-Premier League,1718,2017-12-12 Crystal Palace-Watford,Watford,Heurelho Gomes,BRA,36-300,90,4,2,2,50.0,099b2800
ENG-Premier League,1718,2017-12-12 Huddersfield Town-Chelsea,Chelsea,Thibaut Courtois,BEL,25-215,90,3,1,2,66.7,6e0cc46e
ENG-Premier League,1718,2017-12-12 Huddersfield Town-Chelsea,Huddersfield Town,Jonas Lössl,DEN,28-314,90,5,3,2,40.0,6e0cc46e
ENG-Premier League,1718,2017-12-13 Liverpool-West Brom,Liverpool,Loris Karius,GER,24-174,90,1,0,1,100.0,1b7ef0bf
ENG-Premier League,1718,2017-12-13 Liverpool-West Brom,West Bromwich Albion,Ben Foster,ENG,34-254,90,3,0,3,100.0,1b7ef0bf
ENG-Premier League,1718,2017-12-13 Manchester Utd-Bournemouth,Bournemouth,Asmir Begović,BIH,30-176,90,2,1,1,50.0,eaf5939d
ENG-Premier League,1718,2017-12-13 Manchester Utd-Bournemouth,Manchester United,David de Gea,ESP,27-036,90,7,0,7,100.0,eaf5939d
ENG-Premier League,1718,2017-12-13 Newcastle United-Everton,Everton,Jordan Pickford,ENG,23-281,90,4,0,4,100.0,73b5607f
ENG-Premier League,1718,2017-12-13 Newcastle United-Everton,Newcastle United,Karl Darlow,WAL,27-066,90,4,1,3,75.0,73b5607f
ENG-Premier League,1718,2017-12-13 Southampton-Leicester City,Leicester City,Kasper Schmeichel,DEN,31-038,90,4,1,3,75.0,d4cf1115
ENG-Premier League,1718,2017-12-13 Southampton-Leicester City,Southampton,Fraser Forster,ENG,29-271,90,9,4,5,55.6,d4cf1115
ENG-Premier League,1718,2017-12-13 Swansea City-Manchester City,Manchester City,Ederson,BRA,24-118,90,3,0,3,100.0,f7ddcac0
ENG-Premier League,1718,2017-12-13 Swansea City-Manchester City,Swansea City,Łukasz Fabiański,POL,32-239,90,10,4,6,60.0,f7ddcac0
ENG-Premier League,1718,2017-12-13 Tottenham Hotspur-Brighton,Brighton & Hove Albion,Mathew Ryan,AUS,25-249,90,7,2,5,71.4,8ca205ce
ENG-Premier League,1718,2017-12-13 Tottenham Hotspur-Brighton,Tottenham Hotspur,Hugo Lloris,FRA,30-352,90,4,0,4,100.0,8ca205ce
ENG-Premier League,1718,2017-12-13 West Ham United-Arsenal,Arsenal,Petr Čech,CZE,35-207,90,0,0,0,,2f10aa8f
ENG-Premier League,1718,2017-12-13 West Ham United-Arsenal,West Ham United,Adrián,ESP,30-344,90,3,0,3,100.0,2f10aa8f
ENG-Premier League,1718,2017-12-16 Arsenal-Newcastle United,Arsenal,Petr Čech,CZE,35-210,90,2,0,2,100.0,2d7430b9
ENG-Premier League,1718,2017-12-16 Arsenal-Newcastle United,Newcastle United,Rob Elliot,IRL,31-230,90,5,1,4,80.0,2d7430b9
ENG-Premier League,1718,2017-12-16 Brighton-Burnley,Brighton & Hove Albion,Mathew Ryan,AUS,25-252,90,6,0,6,100.0,4365b452
ENG-Premier League,1718,2017-12-16 Brighton-Burnley,Burnley,Nick Pope,ENG,25-241,90,1,0,1,100.0,4365b452
ENG-Premier League,1718,2017-12-16 Chelsea-Southampton,Chelsea,Thibaut Courtois,BEL,25-219,90,2,0,2,100.0,cd98063b
ENG-Premier League,1718,2017-12-16 Chelsea-Southampton,Southampton,Fraser Forster,ENG,29-274,90,8,1,7,87.5,cd98063b
ENG-Premier League,1718,2017-12-16 Leicester City-Crystal Palace,Crystal Palace,Julián Speroni,ARG,38-212,90,2,0,2,100.0,029fd911
ENG-Premier League,1718,2017-12-16 Leicester City-Crystal Palace,Leicester City,Kasper Schmeichel,DEN,31-041,90,6,3,3,50.0,029fd911
ENG-Premier League,1718,2017-12-16 Manchester City-Tottenham Hotspur,Manchester City,Ederson,BRA,24-121,90,2,1,1,50.0,6b423cc3
ENG-Premier League,1718,2017-12-16 Manchester City-Tottenham Hotspur,Tottenham Hotspur,Hugo Lloris,FRA,30-355,90,9,4,6,55.6,6b423cc3
ENG-Premier League,1718,2017-12-16 Stoke City-West Ham United,Stoke City,Jack Butland,ENG,24-281,90,6,3,4,66.7,17329e19
ENG-Premier League,1718,2017-12-16 Stoke City-West Ham United,West Ham United,Adrián,ESP,30-347,90,0,0,0,,17329e19
ENG-Premier League,1718,2017-12-16 Watford-Huddersfield Town,Huddersfield Town,Jonas Lössl,DEN,28-318,90,3,1,2,66.7,178a7528
ENG-Premier League,1718,2017-12-16 Watford-Huddersfield Town,Watford,Heurelho Gomes,BRA,36-304,90,6,4,3,50.0,178a7528
ENG-Premier League,1718,2017-12-17 Bournemouth-Liverpool,Bournemouth,Asmir Begović,BIH,30-180,90,7,4,3,42.9,790f1ce3
ENG-Premier League,1718,2017-12-17 Bournemouth-Liverpool,Liverpool,Simon Mignolet,BEL,29-286,90,2,0,2,100.0,790f1ce3
ENG-Premier League,1718,2017-12-17 West Brom-Manchester Utd,Manchester United,David de Gea,ESP,27-040,90,5,1,4,80.0,097569a9
ENG-Premier League,1718,2017-12-17 West Brom-Manchester Utd,West Bromwich Albion,Ben Foster,ENG,34-258,90,3,2,1,33.3,097569a9
ENG-Premier League,1718,2017-12-18 Everton-Swansea City,Everton,Jordan Pickford,ENG,23-286,90,3,1,2,66.7,34b9d0ea
ENG-Premier League,1718,2017-12-18 Everton-Swansea City,Swansea City,Łukasz Fabiański,POL,32-244,90,4,3,3,50.0,34b9d0ea
ENG-Premier League,1718,2017-12-22 Arsenal-Liverpool,Arsenal,Petr Čech,CZE,35-216,90,9,3,6,66.7,12c55371
ENG-Premier League,1718,2017-12-22 Arsenal-Liverpool,Liverpool,Simon Mignolet,BEL,29-291,90,4,3,1,25.0,12c55371
ENG-Premier League,1718,2017-12-23 Brighton-Watford,Brighton & Hove Albion,Mathew Ryan,AUS,25-259,90,1,0,1,100.0,409da328
ENG-Premier League,1718,2017-12-23 Brighton-Watford,Watford,Heurelho Gomes,BRA,36-311,90,3,1,2,66.7,409da328
ENG-Premier League,1718,2017-12-23 Burnley-Tottenham Hotspur,Burnley,Nick Pope,ENG,25-248,90,7,3,5,71.4,c82015ec
ENG-Premier League,1718,2017-12-23 Burnley-Tottenham Hotspur,Tottenham Hotspur,Hugo Lloris,FRA,30-362,90,2,0,2,100.0,c82015ec
ENG-Premier League,1718,2017-12-23 Everton-Chelsea,Chelsea,Thibaut Courtois,BEL,25-226,90,0,0,0,,317b694e
ENG-Premier League,1718,2017-12-23 Everton-Chelsea,Everton,Jordan Pickford,ENG,23-291,90,5,0,5,100.0,317b694e
ENG-Premier League,1718,2017-12-23 Leicester City-Manchester Utd,Leicester City,Kasper Schmeichel,DEN,31-048,90,6,2,4,66.7,1913bdd6
ENG-Premier League,1718,2017-12-23 Leicester City-Manchester Utd,Manchester United,David de Gea,ESP,27-046,90,3,2,1,33.3,1913bdd6
ENG-Premier League,1718,2017-12-23 Manchester City-Bournemouth,Bournemouth,Asmir Begović,BIH,30-186,90,5,4,1,20.0,8b61dc89
ENG-Premier League,1718,2017-12-23 Manchester City-Bournemouth,Manchester City,Ederson,BRA,24-128,90,1,0,1,100.0,8b61dc89
ENG-Premier League,1718,2017-12-23 Southampton-Huddersfield Town,Huddersfield Town,Jonas Lössl,DEN,28-325,90,6,1,5,83.3,6ea3edf9
ENG-Premier League,1718,2017-12-23 Southampton-Huddersfield Town,Southampton,Fraser Forster,ENG,29-281,90,3,1,2,66.7,6ea3edf9
ENG-Premier League,1718,2017-12-23 Stoke City-West Brom,Stoke City,Jack Butland,ENG,24-288,90,7,1,6,85.7,07776252
ENG-Premier League,1718,2017-12-23 Stoke City-West Brom,West Bromwich Albion,Ben Foster,ENG,34-264,90,5,3,2,40.0,07776252
ENG-Premier League,1718,2017-12-23 Swansea City-Crystal Palace,Crystal Palace,Julián Speroni,ARG,38-219,90,2,1,1,50.0,49d4cefb
ENG-Premier League,1718,2017-12-23 Swansea City-Crystal Palace,Swansea City,Łukasz Fabiański,POL,32-249,90,4,1,4,100.0,49d4cefb
